START | Pos: [-14.46642, 0.18403, -6.48453] | Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -6.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
